ticker,direction,timestamp
SBER,bullish,2026-01-15T10:30:00
GAZP,bearish,2026-01-15T11:00:00
LKOH,bullish,2026-01-16T10:45:00
GMKN,bearish,2026-01-16T12:00:00
NVTK,bullish,2026-01-17T11:15:00
ROSN,bearish,2026-01-20T10:30:00
TATN,bullish,2026-01-21T13:00:00
MTSS,bearish,2026-01-22T10:30:00
SBER,bearish,2026-01-23T14:00:00
GAZP,bullish,2026-01-27T10:30:00
LKOH,bearish,2026-01-28T11:30:00
PLZL,bullish,2026-01-29T10:45:00
MOEX,bearish,2026-01-30T12:15:00
VTBR,bullish,2026-02-03T10:30:00
YDEX,bearish,2026-02-04T11:00:00
SBER,bullish,2026-02-05T15:00:00
GAZP,bearish,2026-02-06T10:30:00
NLMK,bullish,2026-02-10T11:45:00
CHMF,bearish,2026-02-11T10:30:00
ALRS,bullish,2026-02-12T13:30:00
